abandon;abbandonare 
ability;abilità
able;capace di
achievement;conquista
acid;acido
acknowledge;riconoscere
acquire;acquisire
announce;annuncio
arm;braccio
armed;armato
army;esercito
around;attorno
arrange;organizzare
arrangement;accordo
arrest;arrestare
awareness;consapevolezza
awful;terribile
baby;bebè
back;indietro
background;sfondo
bad;cattivo
barrier;barriera
base;base
basic;basilare
basically;praticamente
basis;base
bathroom;bagno
battery;batteria
battle;battaglia
be;essere
beside;accanto
best;migliore
bet;scommettere
boat;barca
body;corpo
bomb;bomba
bond;legame
bone;osso
book;libro
boot:stivale
border;bordo
borrow;prestare
build;costruire
building;edificio
bullet;proiettile
burn;bruciare
busy;impegnato
but;ma
butter;burro
button;bottone
buy;comprare
buyer;acquirente
cheese;formaggio
chest;scrigno
chicken;gallina
chief;capo
child;bambino
childhood;infanzia
chinese;cinese
chocolate;ciccolata
choice;scelta
cold;freddo
collapse;collassare
colleague;collega
collect;collezionare
collection;collezione
color;colore
conference;conferenza
context;contesto
continue;continuare
contract;contratto
contrast;contrasto
contribute;contribuire
control;controllo
cover;coprire
coverage;copertura
cow;mucca
crack;spaccatura
crash;scontro
crazy;pazzo
customer;cliente
cut;tagliare
cycle;ciclo
dad;papà
daily;giornaliero
damage;danno
dance;danza
danger;pericolo
dangerous;pericoloso
dare;osare
dark;oscuro
darkness;oscurità
demand;richiedere
director;direttore
dirt;sporcizia
dirty;sporco
disability;disabilità
disagree;essere in disaccordo
disappear;scomparire
disaster;disastro
discipline;disciplina
discourse;discorso
either;qualunque
elderly;anziano
enough;abbastanza
ensure;assicurare
enter;entrare
entertainment;intrattenimento
entire;intero
entirely;interamente
entrance;entrata
environment;ambiente
episode;episodio
equal;uguale
equally;ugualmente
error;errore
escape;fuga
especially;specialmente
far;lontano
farm;fattoria
farmer;fattore
fast;veloce
five;cinque
flag;bandiera
four;quattro
fourth;quarto
frame;cornice
free;libero
freedom;libertà
freeze;congelare
frequency;frequenza
frequent;frequente
fresh;fresco
friend;amico
gently;gentilmente
gun;arma
guy;ragazzo
hair;capelli
half;metà
hand;mano
handful;manciata
handle;gestire
hang;appendere
happen;accadere
hill;collina
hip;anca
illness;malattia
illustrate;illustrare
image;immagine
imagination;immaginazione
imagine;immaginare
immediate;immediato
innocent;innocente
inside;interno
insist;insistere
investigation;investigazione
label;etichetta
labor;fatica
laboratory;laboratorio
lack;mancanza
lady;signora
lake;lago
land;suolo
language;lingua
lap;grembo
large;largo
largely;largamente
lesson;lezione
let;lasciare
letter;lettera
level;livello
liberal;liberale
library;libreria
license;licenza
lie;mentire
life;vita
lifestyle;stile di vita
mainly;principalmente
maintain;mantenere
maintenance;manutenzione
majority;maggioranza
make;fare
maker;produttore
makeup;trucco
male;maschio
moon;luna
moral;morale
more;più
morning;mattina
mortgage;mutuo
nowhere;da nessuna parte
only;solo
open;aprire
opening;apertura
operate;operare
predict;predirre
prefer;preferire
preference;preferenza
pregnancy;gravidanza
pregnant;incinta
preparation;preparazione
prepare;preparare
recently;recentemente
recipe;ricetta
recognition;riconoscimento
recognize;riconoscere
romantic;romantico
roof;tetto
room;stanza
root;radice
rope;corda
rose;rosa
same;stesso
sample;campione
sanction;sanzione
sand;sabbia
satellite;satellite
satisfaction;sodisfazione
sense;senso
sensitive;sensibile
sentence;frase
separate;separato
sequence;sequenza
series;serie
serious;serio
shoe;scarpa
shoot;sparare
shooting;sparatoria
shop;negozio
shore;costa
short;corto
slowly;lentamente
small;piccolo
smart;intelligente
smell;annusare
smile;sorriso
special;speciale
stay;restare
steady;stabile
steal;rubare
steel;acciaio
step;passo
stick;bastone
still;ancora
stomach;stomaco
symbol;simbolo
symptom;sintomo
system;sistema
table;tavolo
tactic;tattica
tail;coda
take;prendere
tension;tensione
tent;tenda
term;termine
throat;gola
through;attraverso
tourist;turista
tournament;torneo
toward;verso
tower;torre
town;città
toy;giocattolo
trace;traccia
track;tracciato
trade;scambiare
tradition;tradizione
traditional;tradizionale
two;due
type;tipo
typical;tipico
typically;tipicamente
ugly;brutto
very;molto
vessel;contenitore
veteran;veterano
via;via
victim;vittima
victory;vittoria
waste;spreco
watch;guarare
water;acqua
wave;onda
yourself;te stesso
youth;giovinezza
zone;zona
